"","dataset_id","name","country","location","latitude","longitude","year","group_id","user_id","bwg_release","public_release","num_species","num_visits","num_bromeliads"
"1",51,"Pitilla1997","Costa Rica","Pitilla",10.983,-85.433,1997,NA,NA,2016-01-06,2018-06-01,29,1,20
"2",56,"Pitilla2000","Costa Rica","Pitilla",10.983,-85.433,2000,NA,NA,2016-01-06,2018-01-06,32,2,20
"3",61,"Pitilla2002","Costa Rica","Pitilla",10.983,-85.433,2002,NA,NA,2016-01-06,2018-01-06,32,1,18
"4",71,"Pitilla2010","Costa Rica","Pitilla",10.983,-85.433,2010,NA,NA,2016-04-17,2016-04-17,21,1,18
